TS_Type,ISO3,Country,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,FirstReportedOn,Reported,Change,Change_Percentage,Change_5,Change_Percentage_5,Change_8,Change_Percentage_8,World_Code,World,Continent_Code,Continent,Continental_SubRegion_Code,Continental_SubRegion,Intermediary_Region_Code,Intermediary_Region
DEATHS,MAR,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,3,4,4,2020-03-10,4,0,0.0,2,100.0,3,300.0,1.0,World,2.0,Africa,15.0,Northern Africa,15.0,Northern Africa
DEATHS,BGD,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,2020-03-18,3,1,50.0,2,200.0,3,300,1.0,World,142.0,Asia,34.0,Southern Asia,34.0,Southern Asia
DEATHS,BGR,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,2020-03-11,3,0,0.0,1,50.0,1,50.0,1.0,World,150.0,Europe,151.0,Eastern Europe,151.0,Eastern Europe
DEATHS,COL,Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2020-03-22,3,1,50.0,3,300,3,300,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America
DEATHS,DOM,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,2020-03-17,3,0,0.0,2,200.0,3,300,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
DEATHS,MEX,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,2020-03-19,3,1,50.0,3,300,3,300,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America
DEATHS,SRB,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2020-03-20,3,1,50.0,3,300,3,300,1.0,World,150.0,Europe,39.0,Southern Europe,155.0,Western Europe
DEATHS,SVN,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,2020-03-14,3,1,50.0,2,200.0,2,200.0,1.0,World,150.0,Europe,39.0,Southern Europe,155.0,Western Europe
DEATHS,TUN,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,2020-03-19,3,0,0.0,3,300,3,300,1.0,World,2.0,Africa,15.0,Northern Africa,15.0,Northern Africa
DEATHS,UKR,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,2020-03-13,3,0,0.0,1,50.0,2,200.0,1.0,World,150.0,Europe,151.0,Eastern Europe,151.0,Eastern Europe
DEATHS,ARE,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2020-03-20,2,0,0.0,2,200,2,200,1.0,World,142.0,Asia,145.0,Western Asia,145.0,Western Asia
DEATHS,BHR,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2020-03-16,2,0,0.0,1,100.0,2,200,1.0,World,142.0,Asia,145.0,Western Asia,145.0,Western Asia
DEATHS,CHL,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2020-03-22,2,1,100.0,2,200,2,200,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America
DEATHS,CRI,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2020-03-19,2,0,0.0,2,200,2,200,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America
DEATHS,GHA,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2020-03-21,2,1,100.0,2,200,2,200,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa
DEATHS,MKD,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2020-03-22,2,1,100.0,2,200,2,200,1.0,World,150.0,Europe,39.0,Southern Europe,39.0,Southern Europe
DEATHS,MUS,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2020-03-21,2,0,0.0,2,200,2,200,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa
DEATHS,SGP,Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2020-03-21,2,0,0.0,2,200,2,200,1.0,World,142.0,Asia,35.0,South-eastern Asia,35.0,South-eastern Asia
DEATHS,TWN,Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2020-02-16,2,0,0.0,1,100.0,1,100.0,,,,,,,,
DEATHS,AFG,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-03-22,1,0,0.0,1,100,1,100,1.0,World,142.0,Asia,34.0,Southern Asia,34.0,Southern Asia
DEATHS,AND,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-03-22,1,0,0.0,1,100,1,100,1.0,World,150.0,Europe,39.0,Southern Europe,39.0,Southern Europe
DEATHS,AZE,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2020-03-13,1,0,0.0,0,0.0,0,0.0,1.0,World,142.0,Asia,145.0,Western Asia,145.0,Western Asia
DEATHS,BIH,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2020-03-21,1,0,0.0,1,100,1,100,1.0,World,150.0,Europe,39.0,Southern Europe,39.0,Southern Europe
DEATHS,COG,Congo (Kinshasa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2020-03-21,1,0,0.0,1,100,1,100,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa
DEATHS,CUB,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2020-03-18,1,0,0.0,0,0.0,1,100,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
DEATHS,CYP,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-03-22,1,0,0.0,1,100,1,100,1.0,World,142.0,Asia,145.0,Western Asia,145.0,Western Asia
DEATHS,CZE,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-03-22,1,0,0.0,1,100,1,100,1.0,World,150.0,Europe,151.0,Eastern Europe,151.0,Eastern Europe
DEATHS,FIN,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2020-03-21,1,0,0.0,1,100,1,100,1.0,World,150.0,Europe,154.0,Northern Europe,154.0,Northern Europe
DEATHS,GAB,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2020-03-20,1,0,0.0,1,100,1,100,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa
DEATHS,GMB,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-23,1,1,100,1,100,1,100,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa
DEATHS,GTM,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2020-03-16,1,0,0.0,0,0.0,1,100,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America
DEATHS,GUY,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2020-03-12,1,0,0.0,0,0.0,0,0.0,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America
DEATHS,HRV,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2020-03-19,1,0,0.0,1,100,1,100,1.0,World,150.0,Europe,39.0,Southern Europe,39.0,Southern Europe
DEATHS,ISL,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,1,0,1,1,1,2020-03-15,1,0,0.0,0,0.0,-4,0,1.0,World,150.0,Europe,154.0,Northern Europe,154.0,Northern Europe
DEATHS,ISR,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2020-03-21,1,0,0.0,1,100,1,100,1.0,World,142.0,Asia,145.0,Western Asia,145.0,Western Asia
DEATHS,JAM,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2020-03-19,1,0,0.0,1,100,1,100,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
DEATHS,LTU,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2020-03-21,1,0,0.0,1,100,1,100,1.0,World,150.0,Europe,154.0,Northern Europe,154.0,Northern Europe
DEATHS,MDA,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2020-03-18,1,0,0.0,0,0.0,1,100,1.0,World,150.0,Europe,151.0,Eastern Europe,151.0,Eastern Europe
DEATHS,MNE,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-23,1,1,100,1,100,1,100,1.0,World,150.0,Europe,39.0,Southern Europe,39.0,Southern Europe
DEATHS,NGA,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-23,1,1,100,1,100,1,100,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa
DEATHS,PRY,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2020-03-21,1,0,0.0,1,100,1,100,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America
DEATHS,RUS,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2020-03-19,1,0,0.0,1,100,1,100,1.0,World,150.0,Europe,151.0,Eastern Europe,151.0,Eastern Europe
DEATHS,SDN,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2020-03-13,1,0,0.0,0,0.0,0,0.0,1.0,World,2.0,Africa,15.0,Northern Africa,15.0,Northern Africa
DEATHS,THA,Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-03-01,1,0,0.0,0,0.0,0,0.0,1.0,World,142.0,Asia,35.0,South-eastern Asia,35.0,South-eastern Asia
DEATHS,ZWE,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-23,1,1,100,1,100,1,100,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa
DEATHS,AGO,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa
DEATHS,ARM,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,142.0,Asia,145.0,Western Asia,145.0,Western Asia
DEATHS,ATG,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
DEATHS,BEN,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa
DEATHS,BHS,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
DEATHS,BLR,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,150.0,Europe,151.0,Eastern Europe,151.0,Eastern Europe
DEATHS,BLZ,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America
DEATHS,BOL,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America
DEATHS,BRB,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
DEATHS,BRN,Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,142.0,Asia,35.0,South-eastern Asia,35.0,South-eastern Asia
DEATHS,BTN,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,142.0,Asia,34.0,Southern Asia,34.0,Southern Asia
DEATHS,CAF,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa
DEATHS,CIV,Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa
DEATHS,CMR,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa
DEATHS,COG,Congo (Brazzaville),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa
DEATHS,CPV,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FirstReportedOn,0,0,0,0,0,0,0,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa
